time,location,co2,humidity,temperature
2025-04-25 01:45:00+00:00,왼쪽 뒤,633.3333333333334,28.166666666666668,22.53333333333333
2025-04-25 01:50:00+00:00,8인 책상,509.4,20.5,24.7
2025-04-25 01:50:00+00:00,보드,667.0,38.0,25.100000000000005
2025-04-25 01:50:00+00:00,안쪽벽 중앙,,34.5,22.7
2025-04-25 01:50:00+00:00,왼쪽 뒤,670.8,29.2,22.68
2025-04-25 01:55:00+00:00,8인 책상,513.8,21.7,24.7
2025-04-25 01:55:00+00:00,보드,671.5,37.5,25.05
2025-04-25 01:55:00+00:00,왼쪽 뒤,684.3333333333334,29.5,22.766666666666666
2025-04-25 02:00:00+00:00,왼쪽 뒤,670.4,29.4,22.8
2025-04-25 02:00:00+00:00,안쪽벽 중앙,,34.5,22.8
2025-04-25 02:00:00+00:00,보드,678.75,37.75,25.125
2025-04-25 02:00:00+00:00,8인 책상,590.0,22.625,24.7
2025-04-25 02:05:00+00:00,8인 책상,601.0,22.625,24.725
2025-04-25 02:05:00+00:00,보드,718.0,37.75,25.05
2025-04-25 02:05:00+00:00,왼쪽 뒤,636.0,28.0,22.85
2025-04-25 02:10:00+00:00,8인 책상,551.0,21.2,24.779999999999998
2025-04-25 02:10:00+00:00,보드,706.0,37.833333333333336,25.133333333333336
2025-04-25 02:10:00+00:00,안쪽벽 중앙,,33.5,22.7
2025-04-25 02:10:00+00:00,왼쪽 뒤,663.5,28.75,22.875
2025-04-25 02:15:00+00:00,보드,664.5,37.5,25.1
2025-04-25 02:15:00+00:00,8인 책상,510.6,20.1,24.720000000000002
2025-04-25 02:15:00+00:00,왼쪽 뒤,695.6666666666666,28.666666666666668,22.933333333333334
2025-04-25 02:20:00+00:00,왼쪽 뒤,720.5,29.0,22.95
2025-04-25 02:20:00+00:00,안쪽벽 중앙,,32.5,22.7
2025-04-25 02:20:00+00:00,8인 책상,491.2,19.8,24.7
2025-04-25 02:20:00+00:00,보드,668.5,37.5,25.0
2025-04-25 02:25:00+00:00,왼쪽 뒤,748.0,29.5,23.100000000000005
2025-04-25 02:25:00+00:00,8인 책상,484.8,19.5,24.779999999999998
2025-04-25 02:25:00+00:00,보드,706.0,37.166666666666664,25.133333333333336
2025-04-25 02:30:00+00:00,안쪽벽 중앙,,32.5,22.7
2025-04-25 02:30:00+00:00,왼쪽 뒤,745.0,29.125,23.125
2025-04-25 02:30:00+00:00,8인 책상,497.8,20.0,24.779999999999998
2025-04-25 02:30:00+00:00,보드,700.0,37.0,25.1
2025-04-25 02:35:00+00:00,보드,711.3333333333334,37.0,25.100000000000005
2025-04-25 02:35:00+00:00,왼쪽 뒤,728.6666666666666,29.0,23.233333333333334
